Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST find account by seq,872,77,11,1273,182.40,0.000%,.28251,0.08,0.16,290.0
POST update account nickname,872,97,13,2060,239.80,0.000%,.28256,0.07,0.16,258.0
POST login,873,161,75,2071,219.66,0.000%,.28289,0.20,0.07,707.0
POST sign up,873,264,146,4153,283.71,0.000%,.28294,0.20,0.08,709.8
POST find post by seq,859,32563,84,148968,31810.56,0.000%,.27343,0.05,0.15,198.7
POST update post title,860,43211,28,150832,36515.00,0.000%,.27330,0.05,0.15,190.8
POST update post content,836,29358,36,139428,29328.78,0.000%,.26585,0.05,0.15,191.6
POST create post,824,31375,20,145102,28271.57,0.000%,.26264,0.05,0.16,204.8
POST find reply by seq,817,22788,21,151767,24827.63,0.000%,.25997,0.08,0.15,322.4
POST find by reply seq,808,27912,41,135430,24121.69,0.000%,.25758,9.21,0.15,36621.4
POST update reply content,786,26719,27,151698,25989.17,0.000%,.25050,0.06,0.15,257.0
POST create reply,768,45901,224,145087,31893.84,0.000%,.24971,0.06,0.15,257.0
TOTAL,10048,21246,11,151767,28957.49,0.000%,3.18809,10.11,1.66,3247.5
